DATA,LOCAL,VELOCIDADE DO VENTO
28/11/2020,VYVGI,13.5
28/11/2020,USQAC,23.9
28/11/2020,IPWXM,16.6
28/11/2020,DENKA,6.2
28/11/2020,HUUUZ,2.9
28/11/2020,PQBLT,26.9
28/11/2020,QQAGC,18.2
28/11/2020,SQORR,19.6
28/11/2020,ZLNXH,19.0
28/11/2020,DSAII,16.0
28/11/2020,ZQVSU,23.1
28/11/2020,ZQLQF,21.4
28/11/2020,JUALF,14.4
28/11/2020,ODNJR,30.8
28/11/2020,QTKNK,1.0
28/11/2020,NPFFO,32.7
28/11/2020,VODXF,1.4
28/11/2020,TRETF,16.7
28/11/2020,DTMHI,23.9
28/11/2020,JZGDA,29.2
28/11/2020,FSABB,23.7
28/11/2020,YMYHI,8.9
28/11/2020,VASJU,19.1
28/11/2020,KXFFP,20.3
28/11/2020,ORGYD,1.2
28/11/2020,HLLJI,28.3
28/11/2020,NBZGO,31.3
28/11/2020,YGMWM,24.6
28/11/2020,WOVHE,17.8
28/11/2020,PXLGY,11.7
28/11/2020,YDTEU,23.4
28/11/2020,SLZLX,32.5
28/11/2020,XGKEN,26.9
28/11/2020,EABDR,20.4
28/11/2020,NNQIH,8.8
28/11/2020,FTCLW,32.6
28/11/2020,ZJPKS,19.3
28/11/2020,GTJRP,15.3
28/11/2020,XFDUL,18.1
28/11/2020,MXPAM,11.0
28/11/2020,PYJZU,14.1
28/11/2020,VUBPL,1.4
28/11/2020,SMCRS,21.0
28/11/2020,SSNQX,4.2
28/11/2020,MYEJE,20.9
28/11/2020,JYWGJ,23.2
28/11/2020,VBGYH,6.5
28/11/2020,ALXPA,22.4
28/11/2020,OYSCR,16.9
28/11/2020,VKYDS,27.5
28/11/2020,HHVXE,7.5
28/11/2020,GOLZK,4.8
28/11/2020,AAGGK,0.4
28/11/2020,CSCHI,26.6
28/11/2020,NSTZL,28.1
28/11/2020,WYEFJ,19.7
28/11/2020,NYPJG,20.5
28/11/2020,QHLNE,0.8
